gt_thetas,           ,SRP,                   ,GCC
-90,                  ,-90,                 ,-81
-60,                  ,-60,                 ,-59
-45,                  ,-45,                 ,-44
-30,                  ,-30,                 ,-29
-10,                  ,-10,                 ,-9
0,                  ,0,                 ,0
10,                  ,10,                 ,9
30,                  ,30,                 ,29
45,                  ,45,                 ,44
60,                  ,60,                 ,59
90,                  ,85,                 ,81
